mol_id,split0_test_score_JAK1,split1_test_score_JAK1,split2_test_score_JAK1,split3_test_score_JAK1,split4_test_score_JAK1,split5_test_score_JAK1,split6_test_score_JAK1,split7_test_score_JAK1,split8_test_score_JAK1,split9_test_score_JAK1,split0_test_score_GSK3,split1_test_score_GSK3,split2_test_score_GSK3,split3_test_score_GSK3,split4_test_score_GSK3,split5_test_score_GSK3,split6_test_score_GSK3,split7_test_score_GSK3,split8_test_score_GSK3,split9_test_score_GSK3,split0_test_score_pparD,split1_test_score_pparD,split2_test_score_pparD,split3_test_score_pparD,split4_test_score_pparD,split5_test_score_pparD,split6_test_score_pparD,split7_test_score_pparD,split8_test_score_pparD,split9_test_score_pparD
0ns,0.7727541283400746,0.7913591827576724,0.77514603298474,0.7471489411835501,0.81171930558726,0.6930383511513196,0.8218497687293667,0.7383486541618592,0.7138634101284568,0.7309723196793179,0.2242255448288418,0.2081827070028296,0.2672024578202008,0.4017528326061604,0.321563392401334,0.2467109288336937,0.3034085062236541,0.2099228442105826,0.300716495331481,0.2619919902295725,0.1899793957214717,0.2281074873635989,0.172986687126326,0.1596053361561625,0.1888169276686485,0.150590655291429,0.1215203616082784,0.1366681725205547,0.1387153993299889,0.1155008148880306
1ns,0.7884156177040168,0.760429006102666,0.743314288517096,0.7252440071117897,0.7999386604016371,0.682297200191217,0.8210264387351537,0.713787313795001,0.6533977746913321,0.7156113160761804,0.1886710859745265,0.0431768515477374,0.2690429991184743,0.276690970791277,0.2285790018768084,0.2349188979339028,0.1700394506381165,0.2417487641221798,0.2447673541193322,0.2834495194035442,0.0864933633328107,0.0919584097483118,0.2125410473780666,0.0412269495324071,0.0862464355694323,0.1558674195318508,0.059050223961603,0.0418218994635916,0.0819310668487116,-0.0513095774644594
2ns,0.761928714931746,0.7651994487478092,0.7293900514699385,0.7348138313889674,0.805635114969381,0.6708990569619113,0.7845591716685243,0.7040381760244228,0.6779947982678278,0.6835449057470648,0.2605923488948128,0.2316354809774898,0.1973707170470995,0.1831979929034836,0.1311646708861503,0.1176091289601023,0.2101528017130739,0.1868372235362754,0.2566995772800737,0.1975347766418657,0.1240669630130713,0.124455935891496,0.1153160293381756,0.0554368884686615,0.1190920943436693,0.1903172037542376,0.1400856106497385,0.0365100378071638,0.070505335127692,0.0337729158654487
3ns,0.7602760066562537,0.7720072962261274,0.769595152410522,0.7538196823440158,0.7875464051973025,0.6296691671614698,0.7842599049261352,0.7498931768081214,0.6787553299114821,0.6995905855852179,0.2131627936784687,0.2227110247400139,0.1465127110814864,0.1755920613727152,0.1282246689386577,0.1952525287190549,0.1490223522382662,0.2191118302992177,0.1726952501216017,0.1854354114154003,0.1421156517620846,0.0844021247360589,0.0787432309363156,0.0183418226798748,0.1161304647041845,0.1514098306794347,0.1163727990403611,0.0423151188855531,0.0352399970836917,0.0376046219784224
4ns,0.7566402014404473,0.7328501305977995,0.7514193280898396,0.7388079194916005,0.8076478261767139,0.6954205352792204,0.7910751138102763,0.7163407525419946,0.6571658286615005,0.6807898150492078,0.1752935327989569,0.2821858236044496,0.1948185313931462,0.2699946298398958,0.146044395257895,0.1832111151033613,0.2631398146660383,0.1931065226730628,0.2757162216100505,0.169889527204241,0.0685910409058692,0.174212235847799,0.1661285863972598,0.0869268637545759,0.1047833117061767,0.1760477768356952,0.1364832463720434,0.137247660314738,0.1588600752662241,0.0920132586015425
5ns,0.7720860896592583,0.7467802027251407,0.7145069456967388,0.737037315143491,0.8143590927706789,0.6543559337801934,0.848425724587468,0.757108512649831,0.6800314514177106,0.7173251343249232,0.2634730772039442,0.2776121483885981,0.1971961911466835,0.2310425347957779,0.137847847388057,0.1667534507053347,0.2481703377939762,0.1950455599332131,0.2551612788298549,0.1979920737200989,0.1251056930761578,0.1494134796386332,0.1191424457632056,0.0768138558425359,0.2060062287801267,0.1799713674626658,0.0344453074379405,0.0839087132228,0.0399608496056925,0.0535694142423784
6ns,0.7759601909726292,0.8086293178021775,0.7674419272552526,0.7687679709783442,0.7771838684923056,0.6792743946757179,0.8260952044087722,0.7678115045866997,0.6881066558598237,0.71074173224177,0.2208095428955423,0.3078609913162283,0.2685401279121182,0.1912162464507083,0.1678994578689422,0.1839259007199837,0.1898882544035858,0.2491131163486412,0.2380908775657439,0.2064485281581684,0.0062410878663954,0.1193085691618611,0.1022146513638562,0.1075994574553798,0.0323904418602001,0.1328208353328694,0.0657927556486017,0.1734082059656563,0.1119154163397467,0.0989941727527028
7ns,0.7720964390776749,0.7799367794796078,0.7288437277910937,0.7696496585764171,0.7805537873643763,0.6421844686074223,0.8371187630720542,0.7557899846122299,0.7007438621135845,0.7263915155029361,0.2554421437371902,0.2615657448666011,0.2362263422936903,0.2082308130613372,0.1459654081336651,0.200989075067355,0.1987260603070352,0.2124428587095385,0.2717588106398684,0.1843118251489344,0.1221001005009516,0.1267167662803489,0.1860994066893631,0.070977265175636,0.072042391523457,0.0831108714540878,0.1316275527810031,0.1419230234971686,0.173718428545144,0.1118963033857778
8ns,0.7554894160339061,0.7702734838818598,0.7494121628905724,0.6840240739178667,0.7953648177780135,0.6463874346447633,0.73993935334686,0.7516052570844782,0.6768346524037683,0.6699149936415538,0.2441302141885769,0.3217662514832209,0.2049681023249114,0.2789186006947517,0.1096707732907368,0.1727480915594186,0.2929246677675876,0.1879374677026911,0.2823810478512674,0.2279248163520512,0.0436593059332424,0.0893807967601419,0.1620927277009538,0.0840040172419951,0.0395799519670087,0.1004904332564072,0.0130482196093034,0.1650491767453629,0.1019367639788437,0.1540505988951483
9ns,0.7439423549790511,0.7365895006720788,0.7514249883169557,0.7829126177947372,0.7937956975446389,0.693296762336507,0.8056831095306434,0.72844295722803,0.6630902071753872,0.7389484391540682,0.2705081032277249,0.268713054964378,0.2242471254567347,0.1846647949525396,0.1409362335010141,0.1939313676150088,0.2551246403623011,0.2241760658623378,0.2930795066152504,0.2092338074205478,0.1361416679293193,0.0853584645815943,0.1207188184607459,0.0437461957944789,0.0877440815670246,0.0774750482286144,0.1005473521276316,0.0364191059979681,0.0834451484200754,0.0984226936111354
10ns,0.7737385728227545,0.7704277366837282,0.7412589017844988,0.7615377144757158,0.8086169987476932,0.6631812265965789,0.7967677878770068,0.7443759596424084,0.6579872184231188,0.722401051802426,0.2897335186430388,0.2905044915967002,0.1693409366702926,0.1623039399912805,0.1743672573319176,0.2090278854988676,0.2719355439971878,0.2122482318632674,0.2182413099761079,0.1748089909807288,0.1034264319340024,0.0777433757435585,0.1170830516999889,0.0919898650285861,0.0799031578563118,0.0766255898974779,0.0336897285117584,0.0434461762220953,0.146050759448938,0.1015204447565794
conformations_10,0.7864918001134018,0.7900460869154963,0.7445454267801664,0.7681188547843709,0.8050453357153032,0.6915872452366779,0.8133815957812361,0.7241066476767744,0.7105525241962807,0.7139009328218117,0.2070879215747859,0.1169177674606993,0.2511988064729935,0.3303199360157783,0.2049409077475174,0.2550694987134767,0.2798667556876332,0.2344184524050526,0.3057741247386739,0.2845900596658628,0.1938994817267845,0.16402224198476,0.1995274275026682,0.162093125597179,0.2127653008229968,0.2169499696209892,0.1156439465885466,0.0982223277773908,0.1286960700013828,0.0478888048292328
conformations_20,0.7922579585860599,0.7972655224606148,0.7356636659862346,0.7567627852537282,0.8050658553070376,0.6869636775250492,0.8131087587964274,0.7334637176503374,0.7188362162016142,0.7078931577332226,0.2101426513891854,0.1148688710378266,0.2532354230353866,0.3412205000756971,0.2116673275736726,0.2490985201828589,0.2791637307802027,0.2379379292895447,0.2993650911413362,0.2851943263651197,0.1914689510523385,0.177584874371684,0.1933741104324499,0.1773821584587742,0.2002115342064512,0.2008746695077713,0.1092897547187934,0.0961745176846353,0.1322610882689926,0.064365459033444
